Tier,Category,Field/Signal,What We Capture,How Captured,Storage Type,Required/Optional
Tier 3,3C. Depth Signals from Rich Media,Response latency patterns,Quick responder? Thoughtful pauser?,Behavioral tracking,Media Signals JSONB,Optional
Tier 3,3C. Depth Signals from Rich Media,Message length patterns,Brief texter vs. essay writer,Behavioral tracking,Media Signals JSONB,Optional
Tier 3,3C. Depth Signals from Rich Media,Topic initiation patterns,What do they bring up unprompted?,Conversation analysis,Media Signals JSONB,Optional
Tier 3,3C. Depth Signals from Rich Media,Emotional disclosure depth,Surface-level vs. vulnerable sharing,Conversation analysis,Media Signals JSONB,Optional
Tier 3,3C. Depth Signals from Rich Media,Consistency over time,Do preferences/statements stay stable?,Longitudinal comparison,Media Signals JSONB,Optional
Tier 4,4A. Match Reaction Data,First impression reaction,Excited / Neutral / Disappointed / Surprised,Feedback after match reveal,Match JSONB,Optional
Tier 4,4A. Match Reaction Data,Photo reaction,Attracted / Not attracted / Neutral,Feedback conversation,Match JSONB,Optional
Tier 4,4A. Match Reaction Data,Profile reaction,What stood out? What concerned them?,Open-ended feedback,Match JSONB,Optional
Tier 4,4A. Match Reaction Data,Date willingness,Eager / Willing / Reluctant / Declined,Tracked through action,Match JSONB,Optional
Tier 4,4A. Match Reaction Data,Post-date feedback,Chemistry? Conversation? Attraction? Energy?,Structured + open feedback,Match JSONB,Optional
Tier 4,4A. Match Reaction Data,Surprise learnings,What they liked that they didn't expect to,Open-ended question,Personality JSONB update,Optional
Tier 4,4A. Match Reaction Data,Updated deal-breakers,Things they now realize matter more/less,Inferred from feedback patterns,Preferences JSONB update,Optional
Tier 4,4B. Revealed Preferences,Stated vs. revealed gaps,Where actual choices differ from stated prefs,Pattern analysis,Match Learnings JSONB,Optional
Tier 4,4B. Revealed Preferences,Surprise preferences,Traits they respond to but didn't mention,Feedback analysis,Match Learnings JSONB,Optional
Tier 4,4B. Revealed Preferences,Evolved deal-breakers,What mattered at first vs. after experience,Longitudinal analysis,Match Learnings JSONB,Optional
Tier 4,4B. Revealed Preferences,Coaching receptiveness,Open to feedback vs. defensive,Behavioral observation,Match Learnings JSONB,Optional
Tier 4,4B. Revealed Preferences,Preference drift patterns,How tastes evolve over time,Time series analysis,Match Learnings JSONB,Optional
